year,scenario,region,mean
2100,ssp245,Global,0.97105034886304
2015,ssp370,Global,-0.7573125880372167
2016,ssp370,Global,-0.5745055280256939
2017,ssp370,Global,-0.43585929104117527
2018,ssp370,Global,-0.4228489678927107
2019,ssp370,Global,-0.6451760861518502
2020,ssp370,Global,-0.5428784029867965
2021,ssp370,Global,-0.3356925699958908
2022,ssp370,Global,-0.345351314179247
2023,ssp370,Global,-0.5828850476782865
2024,ssp370,Global,-0.4381592090307714
2025,ssp370,Global,-0.35403127572516674
2026,ssp370,Global,-0.43209601253570595
2027,ssp370,Global,-0.45570828806215097
2028,ssp370,Global,-0.3722406359208245
2029,ssp370,Global,-0.3190040220129945
2030,ssp370,Global,-0.30807127743768015
2031,ssp370,Global,-0.30808493756165045
2032,ssp370,Global,-0.25628177510638206
2033,ssp370,Global,-0.23450308831577163
2034,ssp370,Global,-0.21450263214535945
2035,ssp370,Global,-0.14062659070243178
2036,ssp370,Global,-0.08588504161860105
2037,ssp370,Global,0.05596725752416568
2038,ssp370,Global,-0.0862302470729883
2039,ssp370,Global,-0.16759192200628567
2040,ssp370,Global,-0.08166031283615771
2041,ssp370,Global,0.03644199126349156
2042,ssp370,Global,0.07509009846389436
2043,ssp370,Global,-0.008634389143183659
2044,ssp370,Global,0.037307666793939216
2045,ssp370,Global,0.16976239727244472
2046,ssp370,Global,0.15925149043577144
2047,ssp370,Global,0.3062236705290278
2048,ssp370,Global,0.3507787161626966
2049,ssp370,Global,0.2175049017090196
2050,ssp370,Global,0.17979897753865234
2051,ssp370,Global,0.3247710230873044
2052,ssp370,Global,0.2394150804055996
2053,ssp370,Global,0.3094450501558289
2054,ssp370,Global,0.27193298789027637
2055,ssp370,Global,0.12384212837763205
2056,ssp370,Global,0.43029216421600336
2057,ssp370,Global,0.7126738659734292
2058,ssp370,Global,0.5734471702372054
2059,ssp370,Global,0.4947092231666351
2060,ssp370,Global,0.7831813294089865
2061,ssp370,Global,0.7083946404604227
2062,ssp370,Global,0.7612139252977105
2063,ssp370,Global,0.6627918894824857
2064,ssp370,Global,0.9215842264054425
2065,ssp370,Global,0.929167587842807
2066,ssp370,Global,0.7587749065430462
2067,ssp370,Global,0.7686228835769227
2068,ssp370,Global,0.9734042178613073
2069,ssp370,Global,1.180393345081505
2070,ssp370,Global,0.89264179759202
2071,ssp370,Global,0.9026873401408254
2072,ssp370,Global,1.2307744586744076
2073,ssp370,Global,1.4563396742476555
2074,ssp370,Global,1.4795536710923773
2075,ssp370,Global,1.1828623128971092
2076,ssp370,Global,1.090622185660404
2077,ssp370,Global,1.2743238903479728
2078,ssp370,Global,1.3615474520917172
2079,ssp370,Global,1.254068469270809
2080,ssp370,Global,1.4146822573838285
2081,ssp370,Global,1.5384470661321954
2082,ssp370,Global,1.526159560289652
2083,ssp370,Global,1.4668626796784683
2084,ssp370,Global,1.4189970872190143
2085,ssp370,Global,1.565225353124802
2086,ssp370,Global,1.6558357409597575
2087,ssp370,Global,1.6352861211714846
2088,ssp370,Global,1.7536343831894294
2089,ssp370,Global,1.751120908106402
2090,ssp370,Global,1.8415212503294347
2091,ssp370,Global,1.7268392251420965
2092,ssp370,Global,1.761903554573957
2093,ssp370,Global,2.018737065779239
2094,ssp370,Global,2.030002761947915
2095,ssp370,Global,1.8448264028609227
2096,ssp370,Global,1.997079601912934
2097,ssp370,Global,1.996428214476228
2098,ssp370,Global,1.964472952329299
2099,ssp370,Global,2.1008501393853036
2100,ssp370,Global,2.0212527287521174
2015,ssp585,Global,-0.8709326536819414
2016,ssp585,Global,-0.6541116087439279
2017,ssp585,Global,-0.4818425488250903
2018,ssp585,Global,-0.6268347950177084
2019,ssp585,Global,-0.6681570211718098
2020,ssp585,Global,-0.6957722558747497
2021,ssp585,Global,-0.4847763723200313
2022,ssp585,Global,-0.3535235933119788
2023,ssp585,Global,-0.6025964853783993
2024,ssp585,Global,-0.6114125893948157
2025,ssp585,Global,-0.4226190856021885
2026,ssp585,Global,-0.4244670661824234
2027,ssp585,Global,-0.5395278870584405
2028,ssp585,Global,-0.30632197212083756
2029,ssp585,Global,-0.23805225573212385
2030,ssp585,Global,-0.5154597544149697
2031,ssp585,Global,-0.30780807364932544
2032,ssp585,Global,-0.21937261700179883
2033,ssp585,Global,-0.2596912404254895
2034,ssp585,Global,-0.3753815317368468
2035,ssp585,Global,-0.360668103140007
2036,ssp585,Global,-0.09440626995008468
2037,ssp585,Global,-0.08914362045789335
2038,ssp585,Global,-0.1257328093217999
2039,ssp585,Global,-0.06609398100989883
2040,ssp585,Global,0.027467896965254826
2041,ssp585,Global,-0.06308091420436575
2042,ssp585,Global,-0.08969093463899232
2043,ssp585,Global,0.06237193827676951
2044,ssp585,Global,0.21378269024270036
2045,ssp585,Global,0.2309500142189499
2046,ssp585,Global,-0.02462638697740672
2047,ssp585,Global,0.08964113961216526
